Table ID,Table Name,Table Label,Record Family,Category,Is Custom,Is System,Field Count,Has Overview,Base Type,Description,Available,Feature Required,Permission Required
SuiteScriptDetail,SuiteScriptDetail,Suite Script Detail,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_ATLAS_FINWORKBOOK_STRINGS,CUSTOMRECORD_ATLAS_FINWORKBOOK_STRINGS,SuiteSuccess FinWB Strings,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMLIST_ATLAS_FINWB_TRANS_LIST,CUSTOMLIST_ATLAS_FINWB_TRANS_LIST,SuiteSuccess FinWB Translation,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_ATLAS_PROWORKBOOK_STRINGS,CUSTOMRECORD_ATLAS_PROWORKBOOK_STRINGS,SuiteSuccess Proc WB Strings,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMLIST_ATLAS_PROWB_TRANS_LIST,CUSTOMLIST_ATLAS_PROWB_TRANS_LIST,SuiteSuccess ProWB Translation,OTHER,System,No,Yes,0,No,,,Yes,,
payrollBatchSummary,payrollBatchSummary,Summary,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMLIST_SALES_SUPER_CONC_SPEC,CUSTOMLIST_SALES_SUPER_CONC_SPEC,Super Concentrate Specialties,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMLIST_SALES_SUPER_CONC,CUSTOMLIST_SALES_SUPER_CONC,Super Concentrations,OTHER,System,No,Yes,0,No,,,Yes,,
OrderReservationAllocation,OrderReservationAllocation,Supply Allocation,SETUP,System,No,Yes,0,No,,,Yes,,
predictedRiskTrainEvalHistory,predictedRiskTrainEvalHistory,Supply Chain Predicted Risks Training and Evaluation History,OTHER,System,No,Yes,0,No,,,Yes,,
supplyChainSnapshot,supplyChainSnapshot,Supply Chain Snapshot,OTHER,System,No,Yes,0,No,,,Yes,,
supplyChainSnapshotSimulation,supplyChainSnapshotSimulation,Supply Chain Snapshot Simulation,OTHER,System,No,Yes,0,No,,,Yes,,
supplyChangeOrder,supplyChangeOrder,Supply Change Order,OTHER,System,No,Yes,0,No,,,Yes,,
supplyChangeOrderStatus,supplyChangeOrderStatus,Supply Change Order,OTHER,System,No,Yes,0,No,,,Yes,,
supplyChangeOrderAction,supplyChangeOrderAction,Supply Change Order Action,OTHER,System,No,Yes,0,No,,,Yes,,
SupplyChangeOrderApprovalStatus,SupplyChangeOrderApprovalStatus,Supply Change Order Approval Status,OTHER,System,No,Yes,0,No,,,Yes,,
supplyPlanDefinition,supplyPlanDefinition,Supply Plan Definition,OTHER,System,No,Yes,0,No,,,Yes,,
demandSourceType,demandSourceType,Supply Plan Definition,OTHER,System,No,Yes,0,No,,,Yes,,
ItemSupplyType,ItemSupplyType,Supply Type,ITEM,System,No,Yes,0,No,,,Yes,,
CUSTOMLIST_EB_ITEM_SURFACTANTS,CUSTOMLIST_EB_ITEM_SURFACTANTS,Surfactant,ITEM,System,No,Yes,0,No,,,Yes,,
CurrencySymbolPlacement,CurrencySymbolPlacement,Symbol Placement,ACCOUNTING,System,No,Yes,0,No,,,Yes,,
SystemEmailTemplate,SystemEmailTemplate,System Email Template (Scriptable),OTHER,System,No,Yes,0,No,,,Yes,,
SystemJournal,SystemJournal,System Journal,OTHER,System,No,Yes,0,No,,,Yes,,
SystemNote,SystemNote,System Note,OTHER,System,No,Yes,0,No,,,Yes,,
systemNoteContextType,systemNoteContextType,System Notes,OTHER,System,No,Yes,0,No,,,Yes,,
SystemNote2,SystemNote2,System Notes v2,OTHER,System,No,Yes,0,No,,,Yes,,
StoreTabType,StoreTabType,Tab Type,OTHER,System,No,Yes,0,No,,,Yes,,
IssueTag,IssueTag,Tag,OTHER,System,No,Yes,0,No,,,Yes,,
tag,tag,Tag,OTHER,System,No,Yes,0,No,,,Yes,,
BulkOwnershipTransfer,BulkOwnershipTransfer,Take Ownership,OTHER,System,No,Yes,0,No,,,Yes,,
Task,Task,Task,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_TASK_LIST,CUSTOMRECORD_TASK_LIST,Task List,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMRECORD_L10N_TASK_LIST_PROP,CUSTOMRECORD_L10N_TASK_LIST_PROP,Task List Property,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMRECORD_L10N_TASK_RESULT,CUSTOMRECORD_L10N_TASK_RESULT,Task Result,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
TaxLiab,TaxLiab,TAX_LIAB,OTHER,System,No,Yes,0,No,,,Yes,,
TaxPymt,TaxPymt,TAX_PYMT,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_PACKSHIP_TAXABLE_ENTITY,CUSTOMRECORD_PACKSHIP_TAXABLE_ENTITY,Taxable Entity,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
taxCalculationPlugin,taxCalculationPlugin,Tax Calculation Plugin,OTHER,System,No,Yes,0,No,,,Yes,,
salesTaxItem,salesTaxItem,Tax Code,ITEM,System,No,Yes,0,No,,,Yes,,
taxAcct,taxAcct,Tax Control Account,OTHER,System,No,Yes,0,No,,,Yes,,
taxGroup,taxGroup,Tax Group,OTHER,System,No,Yes,0,No,,,Yes,,
CUSTOMRECORD_PACKSHIP_TAXIDS,CUSTOMRECORD_PACKSHIP_TAXIDS,Tax Identifiers,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
CUSTOMRECORDPACKSHIP_TAX_ID_TYPE,CUSTOMRECORDPACKSHIP_TAX_ID_TYPE,Tax Id Type,CUSTOM,Custom,Yes,No,0,No,,,Yes,,
taxItemTaxGroup,taxItemTaxGroup,Tax Item,ITEM,System,No,Yes,0,No,,,Yes,,
taxItemAvailability,taxItemAvailability,TaxItem Availability,ITEM,System,No,Yes,0,No,,,Yes,,
taxJurisdiction,taxJurisdiction,Tax Jurisdiction,OTHER,System,No,Yes,0,No,,,Yes,,
VatLiability,VatLiability,Tax Liability Cheque,OTHER,System,No,Yes,0,No,,,Yes,,
TaxLiabilityPayment,TaxLiabilityPayment,Tax Liability Payment,TRANSACTION,System,No,Yes,0,No,,,Yes,,
TaxLiabilityPaymentLegacy,TaxLiabilityPaymentLegacy,Tax Liability Payment (Read-Only),TRANSACTION,System,No,Yes,0,No,,,Yes,,
taxOverrideMethod,taxOverrideMethod,Tax Override Method,OTHER,System,No,Yes,0,No,,,Yes,,
taxPeriod,taxPeriod,Tax Period,OTHER,System,No,Yes,0,No,,,Yes,,
taxRoundingType,taxRoundingType,Tax Rounding Method,OTHER,System,No,Yes,0,No,,,Yes,,
taxSchedule,taxSchedule,Tax Schedule,OTHER,System,No,Yes,0,No,,,Yes,,
